Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
22312 Industrial instrument technicians and mechanics,245,240,0,20,20,0,145,135,15,225,215,15,"1,890","1,790",105,"1,535","1,420",120,165,165,0,560,540,25,"3,870","3,735",125,955,915,40,0,0,0,0,0,0,0,0,0
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",110,100,0,15,15,0,445,430,15,75,75,0,"1,720","1,580",140,"1,825","1,690",130,205,200,0,70,65,0,660,595,60,625,555,70,0,0,0,20,20,0,0,0,0
3 Health occupations,"23,320","4,080","19,235","7,265","1,080","6,185","48,825","8,345","40,480","37,225","5,955","31,265","382,265","74,415","307,850","578,200","115,790","462,405","61,660","13,445","48,215","53,175","8,960","44,215","193,895","36,120","157,780","212,305","46,305","166,000","1,605",295,"1,310","1,390",290,"1,100",585,90,495
30 Specialized middle management occupations in health care,560,135,425,145,25,120,"1,090",215,875,830,175,660,"8,270","2,340","5,930","15,645","3,790","11,855","1,505",320,"1,185","1,330",310,"1,020","4,260",985,"3,270","5,315","1,335","3,980",45,0,40,40,10,35,20,10,20
300 Specialized middle management occupations in health care,560,135,425,145,25,120,"1,090",215,875,830,175,660,"8,270","2,340","5,930","15,645","3,790","11,855","1,505",320,"1,185","1,330",310,"1,020","4,260",985,"3,270","5,315","1,335","3,980",45,0,40,40,10,35,20,10,20
3001 Managers in health care,560,135,425,145,25,120,"1,090",215,875,830,175,660,"8,270","2,340","5,930","15,645","3,790","11,855","1,505",320,"1,185","1,330",310,"1,020","4,260",985,"3,270","5,315","1,335","3,980",45,0,40,40,10,35,20,10,20
30010 Managers in health care,560,135,425,145,25,120,"1,090",215,875,830,175,660,"8,270","2,340","5,930","15,645","3,790","11,855","1,505",320,"1,185","1,330",310,"1,020","4,260",985,"3,270","5,315","1,335","3,980",45,0,40,40,10,35,20,10,20
31 Professional occupations in health,"10,220","2,045","8,175","3,135",540,"2,595","20,900","4,150","16,755","15,050","2,770","12,275","158,640","34,725","123,915","254,490","61,675","192,810","25,740","6,260","19,475","22,630","4,605","18,025","84,705","19,100","65,610","95,595","24,705","70,890",770,140,630,715,130,590,235,45,190
311 Health treating and consultation services professionals,"2,810","1,320","1,495",835,325,510,"6,255","2,580","3,680","4,400","1,820","2,575","51,350","19,440","31,910","86,985","40,140","46,845","7,565","3,650","3,920","6,595","2,875","3,720","26,655","12,285","14,370","31,495","15,490","16,005",230,75,150,160,55,110,35,15,20
3110 Physicians and veterinarians,"1,575",835,735,460,230,230,"3,485","1,830","1,655","2,270","1,170","1,105","28,685","13,100","15,585","48,295","25,670","22,625","4,005","2,330","1,670","3,430","1,875","1,560","14,225","7,690","6,530","17,385","9,715","7,665",100,35,60,70,30,40,25,0,15
31100 Specialists in clinical and laboratory medicine,565,330,235,85,60,25,"1,230",655,575,675,420,255,"7,310","3,640","3,675","15,620","8,830","6,790","1,320",875,450,"1,040",615,430,"4,270","2,575","1,695","5,510","3,205","2,310",20,10,0,10,10,0,0,0,0
31101 Specialists in surgery,175,105,70,45,30,10,410,320,90,180,130,50,"2,105","1,295",810,"4,590","3,125","1,465",400,265,140,340,225,115,"1,215",830,385,"1,650","1,170",475,0,0,0,0,0,0,0,0,0
31102 General practitioners and family physicians,760,380,380,200,100,105,"1,515",755,760,"1,185",565,620,"16,590","7,295","9,300","23,490","12,055","11,435","1,895","1,085",815,"1,580",885,695,"7,190","3,665","3,525","8,650","4,760","3,895",50,15,35,50,20,30,15,0,10
31103 Veterinarians,70,25,50,135,45,90,330,100,235,230,55,175,"2,675",875,"1,800","4,595","1,670","2,930",385,105,275,475,150,325,"1,545",620,925,"1,580",585,990,30,10,10,10,0,10,0,0,0
"3111 Dentists, optometrists and audiologists",440,180,265,120,40,80,"1,090",410,680,735,300,435,"9,960","3,000","6,960","17,715","7,555","10,155","1,380",555,830,"1,195",450,750,"5,335","2,290","3,040","6,345","3,035","3,305",65,25,40,45,0,35,10,0,0
31110 Dentists,265,155,110,60,30,25,595,300,290,335,215,120,"4,775","2,385","2,390","10,545","6,070","4,475",650,415,235,535,325,210,"2,830","1,785","1,040","3,930","2,440","1,485",25,20,10,15,0,10,0,0,0
31111 Optometrists,40,25,20,20,0,20,165,80,85,95,50,45,"1,685",480,"1,210","2,805","1,155","1,650",220,110,110,205,100,105,840,410,430,865,450,415,0,0,0,0,0,0,0,0,0
31112 Audiologists and speech-language pathologists,135,0,135,40,10,30,330,30,295,305,35,270,"3,500",135,"3,365","4,370",335,"4,035",515,25,490,460,25,430,"1,660",95,"1,570","1,550",140,"1,405",40,0,30,30,0,30,0,0,0
3112 Pharmacists and dietitians,795,300,490,255,50,200,"1,685",335,"1,345","1,395",350,"1,040","12,705","3,335","9,360","20,975","6,910","14,065","2,180",765,"1,420","1,970",550,"1,420","7,100","2,300","4,800","7,765","2,735","5,035",65,20,45,50,20,30,10,0,10
31120 Pharmacists,685,300,380,180,50,130,"1,245",325,920,"1,065",350,715,"9,900","3,225","6,675","16,265","6,690","9,575","1,685",755,930,"1,655",540,"1,120","5,785","2,255","3,535","6,300","2,615","3,680",50,20,30,35,20,15,0,0,0
31121 Dietitians and nutritionists,115,0,115,70,0,70,435,10,425,325,0,325,"2,805",115,"2,690","4,710",220,"4,490",495,10,490,310,15,295,"1,315",50,"1,270","1,465",120,"1,350",20,0,20,15,0,15,0,0,0
312 Therapy and assessment professionals,970,225,750,295,85,210,"2,545",635,"1,910","1,805",395,"1,410","26,590","5,985","20,605","32,830","9,265","23,560","2,930",820,"2,105","2,310",635,"1,670","12,060","3,035","9,020","13,830","4,105","9,730",100,25,75,85,25,65,20,10,15
3120 Therapy and assessment professionals,970,225,750,295,85,210,"2,545",635,"1,910","1,805",395,"1,410","26,590","5,985","20,605","32,830","9,265","23,560","2,930",820,"2,105","2,310",635,"1,670","12,060","3,035","9,020","13,830","4,105","9,730",100,25,75,85,25,65,20,10,15
31200 Psychologists,190,50,145,60,20,30,610,100,505,450,80,370,"7,995","1,660","6,335","4,785","1,150","3,635",490,110,375,480,125,355,"3,415",670,"2,745","2,145",525,"1,620",35,0,30,25,15,15,0,0,0
31201 Chiropractors,60,30,30,25,15,10,235,140,105,110,65,45,"1,335",675,665,"4,800","2,800","2,000",335,255,80,265,145,115,"1,190",815,375,"1,435",950,490,0,0,0,0,0,0,0,0,0
31202 Physiotherapists,310,65,240,135,40,95,820,250,570,565,185,380,"5,900","1,350","4,545","10,520","3,030","7,490","1,040",290,745,845,230,615,"3,385",900,"2,480","4,485","1,405","3,080",25,0,15,10,0,10,10,0,10
31203 Occupational therapists,215,35,180,50,0,45,455,45,405,445,10,435,"5,580",405,"5,175","5,880",510,"5,370",680,50,625,345,35,310,"2,150",220,"1,930","2,725",280,"2,445",15,10,10,35,0,35,0,0,0
31204 Kinesiologists and other professional occupations in therapy and assessment,170,30,140,10,0,10,295,70,220,135,35,100,"2,480","1,085","1,390","4,250","1,055","3,200",300,90,210,280,65,215,"1,510",300,"1,210","2,085",700,"1,380",15,0,15,0,0,0,0,0,0
31209 Other professional occupations in health diagnosing and treating,25,10,15,10,0,10,130,25,105,110,30,80,"3,305",805,"2,495","2,590",725,"1,865",85,25,55,95,35,60,415,130,280,945,235,710,15,0,15,0,0,0,0,0,0
313 Nursing and allied health professionals,"6,435",500,"5,935","2,005",135,"1,875","12,095",935,"11,160","8,840",550,"8,290","80,700","9,305","71,395","134,675","12,265","122,410","15,245","1,790","13,450","13,730","1,095","12,635","45,995","3,780","42,215","50,270","5,120","45,155",440,40,400,470,55,415,180,25,155
3130 Nursing and allied health professionals,"6,435",500,"5,935","2,005",135,"1,875","12,095",935,"11,160","8,840",550,"8,290","80,700","9,305","71,395","134,675","12,265","122,410","15,245","1,790","13,450","13,730","1,095","12,635","45,995","3,780","42,215","50,270","5,120","45,155",440,40,400,470,55,415,180,25,155
31300 Nursing coordinators and supervisors,165,20,140,130,0,125,505,30,480,300,30,275,"4,140",605,"3,535","5,915",420,"5,495",440,65,380,345,25,320,"1,260",145,"1,110","1,760",185,"1,575",15,0,15,25,10,20,15,0,15
31301 Registered nurses and registered psychiatric nurses,"6,085",455,"5,635","1,825",120,"1,705","11,245",880,"10,360","8,320",500,"7,820","75,280","8,575","66,700","123,505","11,215","112,295","14,325","1,630","12,695","13,125","1,025","12,100","43,875","3,540","40,335","47,500","4,825","42,680",410,35,380,430,45,380,160,25,135
31302 Nurse practitioners,160,15,145,45,0,45,235,15,220,180,15,160,775,55,720,"3,630",285,"3,340",240,35,205,215,25,185,605,65,535,685,50,640,0,0,0,10,0,15,0,0,0
"31303 Physician assistants, midwives and allied health professionals",30,0,20,0,0,0,115,10,105,30,0,30,510,75,440,"1,625",350,"1,275",235,55,170,45,15,30,250,20,230,320,65,260,10,0,10,0,0,0,0,0,0
32 Technical occupations in health,"5,530","1,095","4,435","1,530",240,"1,290","10,980","1,995","8,980","8,840","1,465","7,375","87,530","15,790","71,740","122,885","27,070","95,815","11,900","2,710","9,190","10,820","1,910","8,910","47,145","8,710","38,435","46,530","10,935","35,590",420,75,345,220,75,145,65,15,45
321 Technical occupations in health (except practitioners of natural healing),"5,120","1,060","4,060","1,390",215,"1,170","9,410","1,795","7,620","7,915","1,365","6,550","76,670","13,515","63,155","104,800","23,105","81,695","10,010","2,365","7,640","8,990","1,640","7,355","38,050","7,440","30,610","36,465","8,520","27,950",355,55,300,185,70,115,65,15,45
3210 Technical occupations in therapy and assessment,"3,265",700,"2,565",890,160,720,"6,070","1,320","4,745","5,390","1,060","4,330","43,875","8,390","35,485","59,715","14,765","44,945","5,995","1,585","4,410","5,170","1,055","4,120","24,350","5,130","19,225","21,195","5,255","15,940",260,45,220,115,60,55,25,0,20
32100 Opticians,95,30,70,25,15,15,280,100,180,265,50,215,"2,295",505,"1,790","3,790","1,500","2,290",355,50,305,275,30,245,"1,400",265,"1,130","1,475",480,"1,000",0,0,0,0,0,0,0,0,0
32101 Licensed practical nurses,"1,835",180,"1,660",465,20,440,"3,075",170,"2,905","2,905",270,"2,630","22,355","2,460","19,895","24,200","2,660","21,540","2,430",305,"2,125","2,615",170,"2,450","9,805",820,"8,985","8,485","1,025","7,460",115,0,115,40,10,35,15,0,10
32102 Paramedical occupations,670,385,280,170,105,65,"1,220",815,405,980,580,395,"5,635","3,625","2,010","11,745","7,405","4,340","1,325",785,535,"1,080",645,435,"4,985","2,940","2,050","3,955","2,430","1,525",65,30,30,45,35,10,0,0,0
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",145,55,95,35,10,25,360,90,265,430,95,335,"4,590",710,"3,880","4,080","1,225","2,855",450,135,310,255,75,185,"2,015",505,"1,510","1,485",555,930,0,0,0,0,0,0,0,0,0
32104 Animal health technologists and veterinary technicians,230,10,220,145,10,135,705,55,650,480,10,470,"4,545",370,"4,180","8,365",550,"7,820",890,205,685,625,80,545,"3,055",190,"2,870","3,570",345,"3,230",35,0,25,0,0,0,10,0,10
32109 Other technical occupations in therapy and assessment,285,40,245,50,10,40,440,90,345,335,50,280,"4,445",710,"3,730","7,540","1,425","6,110",560,110,450,310,50,260,"3,085",410,"2,675","2,220",425,"1,800",40,0,40,25,15,10,0,0,0
3211 Technical occupations in dental health care,350,55,295,110,10,100,990,110,880,540,85,455,"8,725","1,240","7,485","15,560","2,075","13,485","1,165",215,945,"1,010",185,825,"4,360",780,"3,580","5,080","1,030","4,050",20,0,20,20,0,20,10,0,10
32110 Denturists,40,30,15,0,0,0,55,25,25,35,35,0,"1,085",585,505,720,470,250,70,60,10,90,65,25,375,245,135,265,180,90,0,0,0,0,0,0,0,0,0
32111 Dental hygienists and dental therapists,265,10,260,110,10,100,775,20,755,450,15,435,"6,655",180,"6,475","12,680",300,"12,375",895,25,870,750,30,715,"3,230",130,"3,095","3,850",205,"3,645",20,0,20,15,0,15,10,0,10
32112 Dental technologists and technicians,40,20,20,0,0,0,165,70,95,60,35,20,980,470,510,"2,160","1,300",860,200,130,70,175,90,85,755,400,350,965,650,320,0,0,0,0,0,0,0,0,0
3212 Medical technologists and technicians,"1,510",300,"1,200",390,40,350,"2,355",360,"1,995","1,995",225,"1,765","24,070","3,890","20,185","29,530","6,265","23,255","2,850",565,"2,280","2,815",400,"2,415","9,345","1,535","7,805","10,190","2,235","7,960",70,10,60,50,0,40,35,15,20
32120 Medical laboratory technologists,530,110,420,105,15,95,735,110,625,560,80,485,"4,860",915,"3,945","6,830","1,590","5,240",845,145,695,875,130,745,"2,795",435,"2,360","2,760",645,"2,115",10,0,0,25,0,20,0,10,10
32121 Medical radiation technologists,380,85,295,80,10,75,525,105,420,465,45,420,"5,250",955,"4,295","6,930","1,680","5,250",840,220,620,805,110,695,"2,685",490,"2,200","2,755",700,"2,060",15,0,10,10,0,10,10,0,0
32122 Medical sonographers,90,30,60,20,0,15,160,0,155,110,10,100,590,75,510,"3,655",510,"3,140",140,10,130,205,20,190,"1,090",175,915,915,140,780,10,0,0,0,0,0,0,0,10
32123 Cardiology technologists and electrophysiological diagnostic technologists,65,15,55,30,0,25,90,10,80,130,15,115,645,105,535,"1,135",235,895,120,25,85,100,10,85,340,75,265,620,115,505,0,0,0,0,0,0,0,0,0
32124 Pharmacy technicians,385,35,355,130,0,130,700,55,645,660,50,615,"10,445","1,335","9,110","9,135","1,405","7,730",835,130,705,740,90,650,"2,165",220,"1,945","2,695",445,"2,250",45,0,45,15,10,15,10,0,10
32129 Other medical technologists and technicians,55,30,25,25,15,15,145,75,70,70,35,35,"2,290",505,"1,785","1,845",845,995,75,30,45,80,35,45,260,140,120,440,190,250,0,0,0,0,0,0,0,0,0
322 Practitioners of natural healing,410,35,375,145,30,120,"1,565",205,"1,360",925,95,825,"10,860","2,270","8,585","18,085","3,970","14,120","1,890",345,"1,550","1,835",275,"1,555","9,095","1,270","7,825","10,060","2,415","7,645",65,15,45,35,10,25,0,0,0
3220 Practitioners of natural healing,410,35,375,145,30,120,"1,565",205,"1,360",925,95,825,"10,860","2,270","8,585","18,085","3,970","14,120","1,890",345,"1,550","1,835",275,"1,555","9,095","1,270","7,825","10,060","2,415","7,645",65,15,45,35,10,25,0,0,0
32200 Traditional Chinese medicine practitioners and acupuncturists,15,0,10,10,10,0,140,25,110,45,20,20,940,265,680,"1,555",655,900,35,15,25,60,20,45,730,160,570,"1,635",560,"1,075",10,0,10,0,0,0,0,0,0
32201 Massage therapists,355,25,330,120,15,110,"1,260",160,"1,100",750,65,690,"9,030","1,815","7,210","13,745","2,800","10,950","1,665",295,"1,370","1,640",250,"1,390","7,775","1,015","6,760","7,245","1,685","5,560",50,15,30,25,10,20,0,0,0
32209 Other practitioners of natural healing,40,0,35,15,0,15,170,10,160,130,10,120,890,190,700,"2,785",510,"2,270",185,30,155,130,0,120,590,100,495,"1,190",175,"1,015",10,0,10,0,0,0,0,0,0
33 Assisting occupations in support of health services,"7,010",815,"6,195","2,455",270,"2,180","15,855","1,980","13,870","12,500","1,545","10,955","127,825","21,560","106,265","185,175","23,255","161,925","22,515","4,155","18,365","18,390","2,130","16,265","57,790","7,325","50,465","64,870","9,330","55,540",365,75,290,415,80,330,260,25,240
331 Assisting occupations in support of health services,"7,010",815,"6,195","2,455",270,"2,180","15,855","1,980","13,870","12,500","1,545","10,955","127,825","21,560","106,265","185,175","23,255","161,925","22,515","4,155","18,365","18,390","2,130","16,265","57,790","7,325","50,465","64,870","9,330","55,540",365,75,290,415,80,330,260,25,240
3310 Assisting occupations in support of health services,"7,010",815,"6,195","2,455",270,"2,180","15,855","1,980","13,870","12,500","1,545","10,955","127,825","21,560","106,265","185,175","23,255","161,925","22,515","4,155","18,365","18,390","2,130","16,265","57,790","7,325","50,465","64,870","9,330","55,540",365,75,290,415,80,330,260,25,240
33100 Dental assistants and dental laboratory assistants,330,0,330,180,15,170,880,15,865,650,15,630,"8,145",505,"7,640","14,815",490,"14,325","1,295",70,"1,225","1,235",35,"1,195","5,730",190,"5,545","6,610",265,"6,340",60,0,55,20,0,20,10,0,10
33101 Medical laboratory assistants and related technical occupations,300,35,260,80,0,70,655,125,525,440,40,405,"4,315","1,010","3,305","7,135","1,105","6,025",745,105,640,620,75,545,"3,405",505,"2,900","3,875",550,"3,325",20,0,20,10,0,10,10,10,10
"33102 Nurse aides, orderlies and patient service associates","5,560",655,"4,905","1,850",215,"1,635","12,110","1,465","10,650","9,880","1,275","8,600","98,735","17,045","81,690","135,320","16,110","119,210","17,730","3,350","14,380","14,285","1,715","12,570","39,705","5,305","34,400","44,420","6,425","37,995",225,60,165,275,45,225,225,20,205
33103 Pharmacy technical assistants and pharmacy assistants,420,40,380,145,10,135,"1,000",115,880,785,70,725,"8,095",860,"7,235","12,915","2,125","10,790","1,050",220,830,985,135,845,"3,755",550,"3,210","4,450",835,"3,615",25,10,15,15,0,15,10,0,10
33109 Other assisting occupations in support of health services,400,85,315,195,25,170,"1,215",260,955,750,155,595,"8,535","2,140","6,395","14,990","3,420","11,570","1,685",405,"1,280","1,270",165,"1,105","5,195",780,"4,410","5,515","1,250","4,265",40,0,30,90,35,60,10,0,0
"4 Occupations in education, law and social, community and government services","37,370","10,460","26,910","10,970","3,245","7,725","73,205","26,255","46,955","55,630","19,220","36,410","601,675","179,715","421,960","957,480","316,155","641,320","100,315","33,095","67,220","77,825","24,395","53,430","267,785","88,015","179,770","336,840","111,625","225,210","4,810","1,585","3,225","5,040","1,925","3,115","3,240","1,040","2,205"
"40 Managers in public administration, in education and social and community services and in public protection services","1,755",850,905,705,280,425,"5,520","3,000","2,515","3,425","1,710","1,710","28,730","12,250","16,480","52,140","21,995","30,140","5,585","2,495","3,085","4,450","1,855","2,600","15,715","6,245","9,470","20,230","8,585","11,645",395,135,255,535,285,250,305,125,185
"400 Managers in public administration, in education and social and community services and in public protection services","1,755",850,905,705,280,425,"5,520","3,000","2,515","3,425","1,710","1,710","28,730","12,250","16,480","52,140","21,995","30,140","5,585","2,495","3,085","4,450","1,855","2,600","15,715","6,245","9,470","20,230","8,585","11,645",395,135,255,535,285,250,305,125,185
4001 Managers in public administration,455,240,210,200,65,135,835,375,455,715,375,335,"6,355","3,305","3,055","10,630","4,795","5,835",820,405,415,795,410,385,"2,615","1,225","1,385","3,700","1,760","1,945",150,50,95,210,125,85,110,55,55
40010 Government managers - health and social policy development and program administration,95,35,60,75,20,50,255,50,200,235,100,140,"1,650",625,"1,025","3,190","1,070","2,115",240,105,125,230,65,165,845,255,590,"1,180",445,735,55,20,40,70,25,45,50,20,30
"40011 Government managers - economic analysis, policy development and program administration",245,150,95,95,40,55,355,210,145,275,155,120,"2,810","1,480","1,330","5,020","2,485","2,540",385,200,190,280,160,120,995,580,415,"1,610",875,735,55,25,30,95,75,15,35,20,15
40012 Government managers - education policy development and program administration,40,0,45,0,0,0,85,25,60,90,35,55,405,140,260,705,260,450,50,15,40,120,60,55,190,65,130,295,100,190,10,0,0,25,10,15,0,0,0
40019 Other managers in public administration,70,55,15,30,10,25,140,90,50,110,85,20,"1,495","1,055",435,"1,710",980,730,150,85,65,165,125,40,585,335,250,615,340,275,25,10,25,25,20,0,25,20,0
4002 Managers in education,735,290,445,190,95,95,"1,585",585,"1,000","1,010",375,635,"9,125","3,255","5,865","19,815","6,775","13,040","2,025",840,"1,180","1,935",745,"1,195","6,900","2,710","4,190","7,885","3,085","4,805",105,30,75,110,55,55,75,25,45
40020 Administrators - post-secondary education and vocational training,270,70,200,45,15,30,700,245,455,350,130,220,"3,555","1,405","2,155","6,665","2,120","4,545",575,240,335,550,160,390,"2,290",735,"1,550","3,350","1,135","2,210",25,10,15,30,15,15,10,0,10
40021 School principals and administrators of elementary and secondary education,465,225,245,145,85,65,880,340,545,660,245,415,"5,560","1,850","3,715","13,150","4,655","8,490","1,450",600,845,"1,390",580,810,"4,610","1,970","2,640","4,540","1,945","2,595",85,20,60,80,40,40,60,25,35
"4003 Managers in social, community and correctional services",350,120,225,235,60,175,965,215,750,825,180,645,"8,375","1,845","6,535","12,085","2,915","9,165","1,645",350,"1,295","1,225",260,960,"4,305",845,"3,460","5,760","1,375","4,385",110,35,75,130,35,100,105,35,75
"40030 Managers in social, community and correctional services",350,120,225,235,60,175,965,215,750,825,180,645,"8,375","1,845","6,535","12,085","2,915","9,165","1,645",350,"1,295","1,225",260,960,"4,305",845,"3,460","5,760","1,375","4,385",110,35,75,130,35,100,105,35,75
4004 Managers in public protection services,220,190,20,80,55,25,"2,140","1,825",310,880,780,95,"4,870","3,845","1,025","9,610","7,510","2,100","1,095",900,195,495,435,65,"1,900","1,460",435,"2,880","2,375",505,30,15,10,85,75,10,15,10,0
40040 Commissioned police officers and related occupations in public protection services,0,0,0,0,0,0,45,30,15,55,35,20,"1,030",790,240,710,495,215,45,40,0,45,35,10,120,60,55,180,105,75,0,0,0,0,0,0,0,0,0
40041 Fire chiefs and senior firefighting officers,25,25,0,0,0,0,55,55,0,55,55,0,565,535,35,925,815,110,110,105,10,65,65,0,330,305,20,565,530,30,15,15,0,15,15,0,0,0,0
40042 Commissioned officers of the Canadian Armed Forces,190,160,20,70,50,25,"2,035","1,735",300,765,690,75,"3,275","2,515",760,"7,980","6,200","1,780",940,755,185,385,335,50,"1,455","1,095",355,"2,135","1,735",400,10,0,0,70,65,10,10,10,0
"41 Professional occupations in law, education, social, community and government services","16,800","5,675","11,130","5,420","1,865","3,550","35,665","12,495","23,165","25,120","8,610","16,505","310,875","107,610","203,270","542,935","194,570","348,365","45,450","16,080","29,370","39,100","13,295","25,810","136,525","49,600","86,925","173,635","63,965","109,670","2,425",800,"1,620","2,460",850,"1,605","1,475",460,"1,020"
411 Professional occupations in law,810,475,335,290,125,160,"2,340","1,360",985,"1,575",890,680,"25,680","11,480","14,200","47,035","25,825","21,210","2,570","1,500","1,070","2,100","1,265",840,"11,280","6,590","4,695","15,300","8,600","6,695",115,50,65,165,80,85,80,40,40
"4110 Judges, lawyers and Quebec notaries",810,475,335,290,125,160,"2,340","1,360",985,"1,575",890,680,"25,680","11,480","14,200","47,035","25,825","21,210","2,570","1,500","1,070","2,100","1,265",840,"11,280","6,590","4,695","15,300","8,600","6,695",115,50,65,165,80,85,80,40,40
41100 Judges,55,35,20,10,0,0,130,70,55,85,50,35,"1,150",560,590,905,545,360,135,60,70,130,85,40,310,185,125,410,210,195,0,0,0,15,10,10,10,10,0
41101 Lawyers and Quebec notaries,755,440,310,280,125,160,"2,210","1,285",925,"1,490",840,645,"24,530","10,920","13,610","46,120","25,275","20,850","2,440","1,440","1,000","1,975","1,175",800,"10,975","6,405","4,570","14,885","8,390","6,495",105,45,65,150,70,75,70,40,35
412 Professional occupations in education services,"10,560","3,430","7,135","3,280","1,080","2,205","21,565","7,245","14,320","15,045","4,780","10,270","195,365","67,770","127,590","316,840","103,545","213,295","28,935","9,720","19,215","24,810","7,910","16,900","79,960","25,915","54,045","97,645","33,940","63,700",965,320,645,"1,040",300,740,840,225,620
4120 University professors and post-secondary assistants,"2,590","1,260","1,330",780,365,415,"6,675","3,040","3,630","3,155","1,475","1,675","45,760","22,725","23,035","81,670","39,015","42,655","6,200","2,765","3,435","5,465","2,665","2,805","20,405","9,630","10,775","27,635","13,055","14,580",150,60,85,50,25,25,20,15,10
41200 University professors and lecturers,"1,170",675,495,290,150,145,"3,235","1,690","1,540","1,555",830,725,"18,340","10,520","7,820","29,480","16,605","12,880","2,620","1,330","1,295","2,435","1,375","1,065","8,225","4,335","3,890","11,995","6,410","5,585",75,25,50,10,0,10,10,10,0
41201 Post-secondary teaching and research assistants,"1,420",585,835,485,215,270,"3,440","1,350","2,090","1,595",650,955,"27,415","12,200","15,215","52,190","22,410","29,780","3,575","1,435","2,140","3,035","1,290","1,740","12,175","5,290","6,890","15,640","6,650","8,995",75,35,35,40,25,15,15,10,10
4121 College and other vocational instructors,"1,250",605,655,465,200,265,"2,465","1,170","1,290","2,015","1,015",995,"38,800","18,505","20,295","35,285","16,500","18,790","2,740","1,265","1,470","2,430","1,110","1,325","9,220","4,360","4,860","13,545","6,025","7,520",105,60,45,185,70,110,110,25,80
41210 College and other vocational instructors,"1,250",605,655,465,200,265,"2,465","1,170","1,290","2,015","1,015",995,"38,800","18,505","20,295","35,285","16,500","18,790","2,740","1,265","1,470","2,430","1,110","1,325","9,220","4,360","4,860","13,545","6,025","7,520",105,60,45,185,70,110,110,25,80
"4122 Secondary, elementary and kindergarten school teachers","6,715","1,565","5,155","2,045",520,"1,520","12,435","3,035","9,400","9,880","2,285","7,600","110,805","26,545","84,255","199,885","48,030","151,850","19,995","5,685","14,305","16,910","4,140","12,765","50,335","11,925","38,405","56,465","14,860","41,605",705,200,505,800,210,600,710,185,530
41220 Secondary school teachers,"2,070",900,"1,170",645,280,360,"3,920","1,625","2,290","3,135","1,265","1,870","46,065","17,560","28,510","63,105","25,245","37,860","6,205","2,935","3,275","5,090","2,270","2,820","14,525","6,205","8,325","19,945","8,685","11,260",235,115,120,230,115,115,210,95,120
41221 Elementary school and kindergarten teachers,"4,640",665,"3,980","1,395",235,"1,160","8,515","1,405","7,110","6,740","1,020","5,730","64,740","8,990","55,745","136,780","22,785","113,990","13,795","2,755","11,040","11,820","1,870","9,950","35,815","5,730","30,085","36,515","6,170","30,345",475,80,395,575,95,480,500,90,410
413 Professional occupations in social and community services,"2,865",765,"2,095",725,250,470,"5,410","1,510","3,895","4,480","1,360","3,120","38,955","7,615","31,345","71,330","20,535","50,795","7,880","2,500","5,380","6,210","1,945","4,265","20,100","6,415","13,685","28,935","8,625","20,310",430,145,290,300,90,210,130,35,95
4130 Social and community service professionals,"2,190",610,"1,585",490,195,295,"4,030","1,200","2,830","3,260","1,130","2,130","27,230","5,290","21,935","53,380","15,625","37,750","5,735","1,855","3,885","4,700","1,575","3,130","15,130","5,100","10,030","20,720","6,540","14,175",340,110,235,195,50,145,65,20,45
41300 Social workers,"1,300",170,"1,130",175,20,150,"2,170",305,"1,860","1,960",265,"1,690","16,985","2,140","14,845","25,320","3,455","21,865","3,255",520,"2,735","2,500",290,"2,210","7,445","1,205","6,235","7,975","1,205","6,765",210,55,155,105,10,100,45,10,40
41301 Therapists in counselling and related specialized therapies,365,65,305,90,20,70,805,140,665,355,95,255,"8,005","1,165","6,840","14,745","2,465","12,285","1,015",205,810,770,180,590,"3,470",650,"2,810","7,825","1,635","6,190",80,0,75,50,10,45,10,0,10
41302 Religious leaders,530,380,150,225,155,70,"1,055",755,305,950,775,180,"2,245","1,990",255,"13,315","9,710","3,610","1,465","1,125",335,"1,435","1,110",325,"4,220","3,235",980,"4,915","3,700","1,215",50,35,10,35,30,0,10,10,0
4131 Police investigators and probation officers,70,25,45,30,20,15,205,80,120,235,75,155,"1,465",465,"1,000","3,590","1,740","1,850",435,215,215,435,120,310,"1,050",500,550,"1,490",605,885,40,20,15,60,30,30,10,0,10
41310 Police investigators and other investigative occupations,10,0,10,15,15,0,50,35,10,45,35,10,525,320,210,"1,835","1,345",495,145,125,15,70,40,25,395,310,80,540,300,245,15,10,0,20,20,0,10,0,0
